TransactionId,ProductId,ProductType
3B02178A-A2AA-3B98-8DDD-16EAA4641576,3C402A5BF3,Footwear
72F08AA6-A711-365A-9A09-4C8D01D97A22,2802183DD0,Shirts
360782A1-DB52-3020-9EC2-12D28DA95489,0C1AE08AA1,Footwear
8DB13CDC-E65E-3C5E-ADBB-63201765BDA2,6A62C6FFC8,Footwear
B8B4A3EF-6023-37C0-8F6D-7CF9B7E8250D,309F5825F4,Footwear
6D5B0D4D-E7DE-303D-87F8-773A4EF5FD09,4FFAF0330B,Tops
D6E060B9-54FD-31B3-AF38-BDAFCD5E63A2,2083484A6E,Pants
50B51418-11FB-326A-9F82-FAF5FC2AC67D,FEAB9E801E,Footwear
2A6CACA1-8D19-34B3-9A24-FA69AB57CF4F,4AE22441CB,Footwear
B524F9F8-9FE7-335D-A51D-029A2D18DF32,5BBDA2E12A,Tops
16B83653-B8DA-3A9C-AB23-506B3A0BD841,35131E8EB2,Tops
62ABE86A-97BD-37D7-AFBF-16301A673AB9,CA19904DDB,Footwear
B61F4C2E-271E-3FD4-A1BC-6F874C53320A,C3B2CD19CD,Footwear
84B6BDB8-AFA0-397A-ADEA-62E08B7EB36B,98DDF13314,Footwear
BD807B99-2D30-3639-A3FC-3DB820461054,773F2F1EC4,Footwear
03E45EAF-65F1-3EFB-ACA5-E65F93AFA66C,2356E1FBA2,Others
D53A26D4-36EE-3AE4-A356-2296B7FAC22D,8F9940F463,Pants
F38CE454-5269-3258-AED8-B0CEAA0CEBB3,B7CC944D21,Footwear
5923A8F7-62F3-30B0-9ADE-8B0BA1EF1DAB,090C2FB891,Footwear
41695D4F-3E82-328B-8E16-7230843FBE6F,A6A9E88EB6,Pants
50556AD9-CA71-31BF-9F39-A1DABBC1D376,BA5375A0D7,Pants
9619D844-9704-3C25-A848-8054B8087430,848284B43E,Footwear
2E693D79-9A00-3127-AD29-B621A0D70274,E74BAF1E8B,Footwear
B62CE3F2-6E66-37B8-8A48-1EA61F5A9D33,5B42A08B8D,Footwear
05A2F408-526E-39DF-8C37-1FC9D0C715D3,1B29A58B9D,Footwear
B25EA14B-3AF6-391F-8336-A050824A7918,942583D70E,Footwear
16955520-AED1-30CF-BF36-E2ED8C296DD6,75AC746FB6,Footwear
9789EA27-7B8E-3293-ADDC-6EC45DB22352,64807F53CD,Others
A91C2977-7B1F-3F02-9487-E05E64BFA555,579361B37B,Pants
BB74C5BC-CAA1-3367-BFA0-AE937F0E5FEB,3C25F6668D,Tops
14F275F9-D1F1-3EA2-9E28-5574447D96EE,31D5A64004,Footwear
1DB90756-1D91-3BA5-8FA5-EFF8647F70D6,538CC5CD73,Accessories
643B9005-DFC7-3E0F-877C-C67AC80174CA,BD5FBE762B,Tops
419AAB6B-BEFF-3FA2-B35C-C59EDE619749,2AC7BB105C,Pants
14F4450E-54CE-3C6D-BDD0-B4EA45BDDA62,B4CC042092,Pants
175E0C6D-271A-3FF2-8124-2A8BA442978C,689538C972,Footwear
9FBC8B53-9CD5-3A20-A685-170053494C17,72485FE9DC,Tops
C58C47AE-DD74-3367-86EF-279ECF18184C,253DDC0342,Others
92CC3E1D-7BC1-3C20-B2DF-D8A5E2638056,A328A85E57,Footwear
232CBFE9-5089-395A-9EFC-DEAD3F164079,13B55C8D6B,Pants
22AEA5E9-867A-33F5-B5EC-E980C621CA02,F0D012E205,Footwear
BA7E98F2-EEC6-3D54-8CF9-11D3AD14CEF8,0C869F9259,Tops
3B951669-9D5C-37CA-999F-1564A01A1839,4056403500,Footwear
F842A813-E6F7-3ACD-B98E-BA6E555B1AA3,6818B9536F,Shirts
8E828873-826F-310B-B3C4-3DC0C3455363,74D08A714A,Accessories
3F9C6200-E3BA-3877-8FF9-5191B0C5C4D5,DA6E3BF6AE,Tops
8F13B02F-B7E3-3952-A338-AB8AF4153C9F,28C728299E,Footwear
3F3D606E-575F-3C0C-8917-23D85B7CAE0D,F770F1C14F,Others
5A37E1B5-018C-397D-B512-ED0E137B4956,7149F9C49B,Footwear
8BC1580C-ACF2-3A32-BCDE-843DB8435E09,6E68984E88,Shirts
