TransactionId,ProductId,ProductType
DB778CFF-8B36-3581-8D6C-091457F8B9D6,C8043F210B,Socks
FCA720D7-29A8-3E04-9D44-A95233339967,116BE87881,Shirts
2BFB4ACB-C92F-3A3B-95DD-D69BC178E68E,316E185A33,Accessories
6B982F32-BC80-3B7F-A380-D0B455C3FA15,B4B9129F83,Accessories
F59491B9-A676-3176-B2E1-886681200B55,FBC8810A1E,Others
6DFADA89-FA3F-359C-8B38-6AF811E2C077,0FFF94D985,Shirts
27B21D20-6394-3E1A-981D-04369274EDF9,ABAD0C308F,Footwear
986813F1-77C3-3394-8043-4EA87AB8A038,F450AC1C2B,Pants
C48A582F-91C0-3725-929F-AC75F9A66A4D,CBC9D44392,Shirts
95C599F4-5C28-3A9A-AB33-F4BBFCB61EF0,B0B8192904,Footwear
DF3B0994-61CA-3F7E-941D-1F302FDB59F4,22223BAC8E,Pants
84DC2AFC-8A8F-39EB-8570-EE69C2BF8280,3A67367843,Accessories
9710562B-C989-370A-BA2D-80A8E67D6A96,EDB68C4EB2,Pants
9A93FB96-D812-3FAC-B4B8-C4C3C4A52F21,F01B6D3850,Footwear
333F5EA3-B5F8-32AB-8096-9DA2D8AE1E25,CC60E2F6F1,Shirts
471D0B67-5C62-3D08-B3F8-C337897F24E7,31D2794895,Shirts
FFB62B00-6F24-3370-B6C2-87BC4F699A19,781A333825,Tops
F3CD75D7-E03D-3C68-97B7-F64E5919C987,DF7434B7CA,Footwear
33333E56-9F9F-3CA7-B4B6-75050A6D4F74,7ADFBAE74C,Shirts
A5D209E6-340F-3108-928A-0C86B4EE0AF7,4FDCD7D5B2,Shirts
26E29350-C7E7-3D3A-8552-0F2926D51F0B,EDB68C4EB2,Pants
A5E47C5E-BA5B-3F99-BBCB-531EAD713DC4,F9AB408DB7,Footwear
59E25A10-B455-3886-8DDE-A740B11849A6,9B5BC56C07,Footwear
0582A15A-9D69-3526-9462-57666AF28EBE,A693F923A4,Footwear
96BE748C-4F22-384B-BF21-39D8A8B870DC,D99685281D,Shirts
81B6A0AD-D87D-3FCF-93D7-AA5E1CF56F09,904E49C554,Footwear
5ADF1E3E-B514-3CE6-ABA7-F5C132BA0B20,90C72DC24E,Footwear
AD37B1F1-D5FF-3200-84DB-CB2C3DE78506,0C1AE08AA1,Footwear
03162D72-0B25-3EBF-A7BE-35DABCE47A01,4ADCB9C52F,Footwear
27299C69-D96B-313E-8F24-2A129503C3F9,33BB2C5A41,Shirts
BD41DBBA-F661-3970-B165-C1C0FE7899F1,3524506645,Shirts
564AA023-3C66-3567-B953-BF1CF7745250,0AE9D0B12D,Accessories
B096AD00-2D42-3955-8AEB-F98A88DD9C7A,7D1D119D1D,Pants
4522F5B0-D4B4-3208-B874-3B4844C292D2,5439627993,Pants
1B6AAB2F-E934-36D2-A555-9B932CFA1616,E8EB332135,Footwear
8E8B95AC-1212-3074-954A-EF0866A0AB79,53EDEA29C8,Footwear
ED740E9D-91AE-329E-8A53-602EE128F62B,EC4DE05C5D,Socks
24D479DF-5EF5-3FF8-ACD7-6FE37729B323,70E2A73F61,Pants
BFD4CE76-F954-3856-8D46-FCBB054C7DB9,693978A18C,Shirts
38A21B3C-5EF1-3718-B889-694945428B6C,0DD7A963A5,Footwear
2CC38443-4749-346E-AC83-FB570E2AAD8C,6E4276A2A8,Pants
B0309C4B-670F-358D-B4AC-85DEB193ECA4,A436E382AD,Others
FACAE123-3770-3D60-B0FB-14CC37CE1B92,77E4EA1503,Footwear
BEE933EF-6752-3137-B0C3-7CF502A359C6,B12D9BFC48,Others
DA06B005-8569-3960-9690-A5D84BF6FFA2,ACDAEDC339,Others
5AAAE497-C725-3EE6-A4B6-F1CCFB1D9A83,30D8180440,Shirts
412369AD-2E23-34CC-9C1F-269931FE8602,BCDF83C1E2,Footwear
AC8D78EE-F783-3473-9942-AC98D6940998,E53A574A0B,Pants
777B1F8D-CBD0-372D-BFC3-25B05D1548E2,354F2887C0,Shirts
69B7BC04-56EF-3145-99A8-AF7E20F7D757,D6021968DC,Pants
